Timestamp,1. open,2. high,3. low,4. close,5. volume,Time,Date,Minute,Hour,Year,Month,Day
2024-08-22 13:05:00,557.37,557.44,556.98,557.005,100075.0,13:05:00,2024-08-22,5,13,2024,8,22
2024-08-22 13:06:00,557.04,557.21,556.89,557.18,129859.0,13:06:00,2024-08-22,6,13,2024,8,22
2024-08-22 13:07:00,557.18,557.54,557.115,557.51,180058.0,13:07:00,2024-08-22,7,13,2024,8,22
2024-08-22 13:08:00,557.5094,557.61,557.28,557.2815,73568.0,13:08:00,2024-08-22,8,13,2024,8,22
2024-08-22 13:09:00,557.3599,557.59,557.33,557.58,49614.0,13:09:00,2024-08-22,9,13,2024,8,22
2024-08-22 13:10:00,557.57,558.04,557.4605,558.03,122364.0,13:10:00,2024-08-22,10,13,2024,8,22
2024-08-22 13:11:00,558.025,558.42,558.0,558.26,153575.0,13:11:00,2024-08-22,11,13,2024,8,22
2024-08-22 13:12:00,558.28,558.29,558.03,558.06,70608.0,13:12:00,2024-08-22,12,13,2024,8,22
2024-08-22 13:13:00,558.07,558.09,557.38,557.38,92098.0,13:13:00,2024-08-22,13,13,2024,8,22
2024-08-22 13:14:00,557.42,557.52,557.37,557.45,72644.0,13:14:00,2024-08-22,14,13,2024,8,22
2024-08-22 13:15:00,557.4603,557.89,557.45,557.69,43634.0,13:15:00,2024-08-22,15,13,2024,8,22
2024-08-22 13:16:00,557.71,557.76,557.62,557.6999,21186.0,13:16:00,2024-08-22,16,13,2024,8,22
2024-08-22 13:17:00,557.6811,557.87,557.67,557.85,34223.0,13:17:00,2024-08-22,17,13,2024,8,22
2024-08-22 13:18:00,557.86,558.12,557.82,557.94,43999.0,13:18:00,2024-08-22,18,13,2024,8,22
2024-08-22 13:19:00,557.945,558.1,557.86,557.8608,76377.0,13:19:00,2024-08-22,19,13,2024,8,22
2024-08-22 13:20:00,557.88,558.07,557.84,557.94,50587.0,13:20:00,2024-08-22,20,13,2024,8,22
2024-08-22 13:21:00,557.92,558.055,557.875,557.9,356136.0,13:21:00,2024-08-22,21,13,2024,8,22
2024-08-22 13:22:00,557.9,557.94,557.62,557.74,77408.0,13:22:00,2024-08-22,22,13,2024,8,22
2024-08-22 13:23:00,557.72,557.8379,557.64,557.79,87392.0,13:23:00,2024-08-22,23,13,2024,8,22
2024-08-22 13:24:00,557.8,557.995,557.8,557.89,59602.0,13:24:00,2024-08-22,24,13,2024,8,22
2024-08-22 13:25:00,557.87,557.91,557.72,557.8,48313.0,13:25:00,2024-08-22,25,13,2024,8,22
2024-08-22 13:26:00,557.818,557.89,557.53,557.6715,159934.0,13:26:00,2024-08-22,26,13,2024,8,22
2024-08-22 13:27:00,557.6962,557.83,557.67,557.8,22027.0,13:27:00,2024-08-22,27,13,2024,8,22
